2026-02-09 19:18:25 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-09 19:32:23 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-09 19:34:00 | INFO     | combat               | start_combat    | ⚔️ Iniciando combate - Sesión: default_session
2026-02-09 19:34:00 | INFO     | combat               | start_combat    | PJs: 4, Grupos enemigos: 3
2026-02-09 19:34:00 | INFO     | combat               | start_combat    | ✓ Combate iniciado con 7 combatientes
2026-02-09 19:34:00 | INFO     | combat               | start_combat    | Orden de iniciativa: ['Piratas Fantasma', 'Bestia del Corazón', 'Thorne', 'Astraria', 'Rayos Eternos', 'Lumen', 'Shadowscale']
2026-02-10 07:08:30 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-10 07:17:30 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-10 19:55:05 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-10 19:59:50 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-10 20:16:43 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-10 20:22:57 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-14 10:43:41 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-14 10:45:50 | INFO     | combat               | start_combat    | ⚔️ Iniciando combate - Sesión: default_session
2026-02-14 10:45:50 | INFO     | combat               | start_combat    | PJs: 4, Grupos enemigos: 5
2026-02-14 10:45:50 | INFO     | combat               | start_combat    | ✓ Combate iniciado con 9 combatientes
2026-02-14 10:45:50 | INFO     | combat               | start_combat    | Orden de iniciativa: ['Grug Nariz de Piedra', 'Esbirros del Maestro de la Canción', 'Thalion del Clán de la Música', 'Piratas del Cielo', 'Lysandra del Bosque Eterno', 'Criaturas de cristal', 'Espíritus del bosque', 'Echo de la Luna', 'Maestro de la Canción (desesperado)']
2026-02-16 19:17:51 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 19:19:00 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 19:22:41 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 19:23:22 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 19:33:00 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 19:34:33 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:11:10 | INFO     | combat               | __init__        | CombatTracker inicializado
2026-02-16 20:11:55 | INFO     | combat               | __init__        | CombatTracker inicializado
