2026-02-14 10:43:49 | INFO     | generator            | crear_datos_aventura | 🎲 Iniciando generación de aventura
2026-02-14 10:43:49 | INFO     | generator            | crear_datos_aventura | Setting: un bosque de cristal que vibra con una canción que vuelve loca a la gente
2026-02-14 10:43:49 | INFO     | generator            | crear_datos_aventura | Estilo: STEAMPUNK
2026-02-14 10:43:49 | INFO     | generator            | crear_datos_aventura | Paso 1/3: Generando personajes...
2026-02-14 10:44:09 | INFO     | generator            | crear_datos_aventura | ✓ 4 personajes generados
2026-02-14 10:44:09 | INFO     | generator            | crear_datos_aventura | Paso 2/3: Generando historia ENRIQUECIDA...
2026-02-14 10:45:00 | INFO     | generator            | crear_datos_aventura | ✓ Historia generada: La Canción del Bosque de Cristal
2026-02-14 10:45:00 | INFO     | generator            | crear_datos_aventura | Paso 3/3: Agregando URLs de imágenes...
2026-02-14 10:45:00 | INFO     | generator            | crear_datos_aventura | ✓ Imágenes agregadas
2026-02-14 10:45:00 | INFO     | generator            | crear_datos_aventura | 🎉 Aventura generada exitosamente
2026-02-16 19:19:07 | INFO     | generator            | crear_datos_aventura | 🎲 Iniciando generación de aventura
2026-02-16 19:19:07 | INFO     | generator            | crear_datos_aventura | Setting: el Underdark, iluminado solo por hongos bioluminiscentes que susurran
2026-02-16 19:19:07 | INFO     | generator            | crear_datos_aventura | Estilo: HORROR GÓTICO
2026-02-16 19:19:07 | INFO     | generator            | crear_datos_aventura | Paso 1/3: Generando personajes...
2026-02-16 19:19:27 | INFO     | generator            | crear_datos_aventura | ✓ 4 personajes generados
2026-02-16 19:19:27 | INFO     | generator            | crear_datos_aventura | Paso 2/3: Generando historia ENRIQUECIDA...
2026-02-16 19:20:19 | INFO     | generator            | crear_datos_aventura | ✓ Historia generada: Las sombras del Underdark
2026-02-16 19:20:19 | INFO     | generator            | crear_datos_aventura | Paso 3/3: Agregando URLs de imágenes...
2026-02-16 19:20:19 | INFO     | generator            | crear_datos_aventura | ✓ Imágenes agregadas
2026-02-16 19:20:19 | INFO     | generator            | crear_datos_aventura | 🎉 Aventura generada exitosamente
2026-02-16 19:34:37 | INFO     | generator            | crear_datos_aventura | 🎲 Iniciando generación de aventura
2026-02-16 19:34:37 | INFO     | generator            | crear_datos_aventura | Setting: una ciudad construida dentro del cráneo de un titán muerto hace eones
2026-02-16 19:34:37 | INFO     | generator            | crear_datos_aventura | Estilo: VIEJO OESTE
2026-02-16 19:34:37 | INFO     | generator            | crear_datos_aventura | Paso 1/3: Generando personajes...
2026-02-16 19:34:50 | INFO     | generator            | crear_datos_aventura | ✓ 4 personajes generados
2026-02-16 19:34:50 | INFO     | generator            | crear_datos_aventura | Paso 2/3: Generando historia ENRIQUECIDA...
2026-02-16 19:35:13 | INFO     | generator            | crear_datos_aventura | ✓ Historia generada: El Cráneo del Titán
2026-02-16 19:35:13 | INFO     | generator            | crear_datos_aventura | Paso 3/3: Agregando URLs de imágenes...
2026-02-16 19:35:13 | INFO     | generator            | crear_datos_aventura | ✓ Imágenes agregadas
2026-02-16 19:35:13 | INFO     | generator            | crear_datos_aventura | 🎉 Aventura generada exitosamente
2026-02-16 20:12:01 | INFO     | generator            | crear_datos_aventura | 🎲 Iniciando generación de aventura
2026-02-16 20:12:01 | INFO     | generator            | crear_datos_aventura | Setting: una torre infinita donde cada piso es un ecosistema distinto
2026-02-16 20:12:01 | INFO     | generator            | crear_datos_aventura | Estilo: HORROR GÓTICO
2026-02-16 20:12:01 | INFO     | generator            | crear_datos_aventura | Paso 1/3: Generando personajes...
2026-02-16 20:12:15 | INFO     | generator            | crear_datos_aventura | ✓ 4 personajes generados
2026-02-16 20:12:15 | INFO     | generator            | crear_datos_aventura | Paso 2/3: Generando historia ENRIQUECIDA...
2026-02-16 20:13:11 | INFO     | generator            | crear_datos_aventura | ✓ Historia generada: La Torre del Eterna Noche
2026-02-16 20:13:11 | INFO     | generator            | crear_datos_aventura | Paso 3/3: Agregando URLs de imágenes...
2026-02-16 20:13:11 | INFO     | generator            | crear_datos_aventura | ✓ Imágenes agregadas
2026-02-16 20:13:11 | INFO     | generator            | crear_datos_aventura | 🎉 Aventura generada exitosamente
2026-02-16 20:19:30 | INFO     | generator            | crear_datos_aventura | 🎲 Iniciando generación de aventura
2026-02-16 20:19:30 | INFO     | generator            | crear_datos_aventura | Setting: unas islas flotantes unidas por cadenas oxidadas sobre un abismo sin fin
2026-02-16 20:19:30 | INFO     | generator            | crear_datos_aventura | Estilo: VIEJO OESTE
2026-02-16 20:19:30 | INFO     | generator            | crear_datos_aventura | Paso 1/3: Generando personajes...
