2026-02-09 19:18:25 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-09 19:19:09 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-09 19:19:09 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Canción del Bosque de Cristal
2026-02-09 19:32:23 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-09 19:33:08 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-09 19:33:08 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El Calabozo del Titán
2026-02-09 19:34:00 | INFO     | journal              | register_event  | [default_session] combat_start: Combate iniciado
2026-02-10 07:08:30 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-10 07:09:16 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-10 07:09:16 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: El susurro de los hongos
2026-02-10 07:17:30 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-10 07:18:13 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-10 07:18:13 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Torre de los Vientos
2026-02-10 19:55:05 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-10 19:55:54 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-10 19:55:54 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Lanza de cristal
2026-02-10 19:59:50 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-10 20:00:24 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-10 20:00:24 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Ciudad del Cráneo
2026-02-10 20:16:43 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-10 20:22:57 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-10 20:24:02 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-10 20:24:02 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Torre de los Ecos
2026-02-10 20:28:49 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: Los Susurros del Underdark
2026-02-10 20:29:56 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Torre Infinita
2026-02-14 10:43:41 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-14 10:45:00 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: default_session
2026-02-14 10:45:00 | INFO     | journal              | register_event  | [default_session] campaign_start: Aventura iniciada: La Canción del Bosque de Cristal
2026-02-14 10:45:50 | INFO     | journal              | register_event  | [default_session] combat_start: Combate iniciado
2026-02-16 19:17:51 | INFO     | journal              | __init__        | JournalSystem inicializado
2026-02-16 19:17:51 | INFO     | journal              | register_event  | Nuevo journal creado para sesión: test_session_1
2026-02-16 19:17:51 | INFO     | journal              | register_event  | [test_session_1] start: La aventura comienza en una taberna.
2026-02-16 19:17:51 | INFO     | journal              | register_event  | [test_session_1] combat: El grupo derrotó a los goblins.
