2026-02-14 10:44:09 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Echo de la Luna
2026-02-14 10:44:09 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Echo de la Luna, generando aleatorios
2026-02-14 10:44:09 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Echo de la Luna (Bardo Nv.3, HP:27, AC:10)
2026-02-14 10:44:09 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grug Nariz de Piedra
2026-02-14 10:44:09 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grug Nariz de Piedra, generando aleatorios
2026-02-14 10:44:09 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Grug Nariz de Piedra
2026-02-14 10:44:09 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grug Nariz de Piedra (Guerrero Nv.3, HP:22, AC:16)
2026-02-14 10:44:09 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Lysandra del Bosque Eterno
2026-02-14 10:44:09 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Rangersa', usando 'Guerrero' por defecto
2026-02-14 10:44:09 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Lysandra del Bosque Eterno, generando aleatorios
2026-02-14 10:44:09 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Lysandra del Bosque Eterno (Guerrero Nv.3, HP:19, AC:16)
2026-02-14 10:44:09 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Thalion del Clán de la Música
2026-02-14 10:44:09 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Thalion del Clán de la Música, generando aleatorios
2026-02-14 10:44:09 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Thalion del Clán de la Música (Mago Nv.3, HP:23, AC:12)
2026-02-16 19:19:27 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Kael'thas Ebonwhisper
2026-02-16 19:19:27 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Kael'thas Ebonwhisper, generando aleatorios
2026-02-16 19:19:27 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Kael'thas Ebonwhisper (Hechicero Nv.3, HP:11, AC:13)
2026-02-16 19:19:27 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Gromm Stoneheart
2026-02-16 19:19:27 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Gromm Stoneheart, generando aleatorios
2026-02-16 19:19:27 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Gromm Stoneheart
2026-02-16 19:19:27 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Gromm Stoneheart (Guerrero Nv.3, HP:19, AC:16)
2026-02-16 19:19:27 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Lumen Sparkwing
2026-02-16 19:19:27 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Lumen Sparkwing, generando aleatorios
2026-02-16 19:19:27 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Lumen Sparkwing (Explorador Nv.3, HP:22, AC:12)
2026-02-16 19:19:27 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Zephyrus Shadowstride
2026-02-16 19:19:27 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Ratero', usando 'Guerrero' por defecto
2026-02-16 19:19:27 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Zephyrus Shadowstride, generando aleatorios
2026-02-16 19:19:27 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Zephyrus Shadowstride (Guerrero Nv.3, HP:25, AC:16)
2026-02-16 19:34:50 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Elara la Audaz
2026-02-16 19:34:50 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Guerrera', usando 'Guerrero' por defecto
2026-02-16 19:34:50 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Elara la Audaz, generando aleatorios
2026-02-16 19:34:50 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Elara la Audaz (Guerrero Nv.3, HP:31, AC:16)
2026-02-16 19:34:50 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Luminary
2026-02-16 19:34:50 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Luminary, generando aleatorios
2026-02-16 19:34:50 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Luminary (Mago Nv.3, HP:11, AC:10)
2026-02-16 19:34:50 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grimgold
