2026-02-16 20:38:18 | INFO     | skill_images         | process_narrative | 🤔 Analizando narrativa para imágenes (36 chars)
2026-02-16 20:38:18 | INFO     | skill_images         | process_narrative |   -> Detectado: MAPA 🗺️
2026-02-16 20:38:18 | INFO     | skill_images         | generate_map    | 🗺️ Generando mapa para sesión test_session
2026-02-16 20:38:26 | INFO     | skill_images         | _wait_and_broadcast | ✅ Imagen (map) lista: ComfyUI_00136_.png
2026-02-16 20:38:26 | INFO     | skill_images         | process_narrative | 🤔 Analizando narrativa para imágenes (44 chars)
2026-02-16 20:38:26 | INFO     | skill_images         | process_narrative |   -> Ningún trigger de imagen detectado.
2026-02-16 20:38:26 | INFO     | skill_images         | process_narrative | 🤔 Analizando narrativa para imágenes (43 chars)
2026-02-16 20:38:26 | INFO     | skill_images         | process_narrative |   -> Detectado: RETRATO 👤
2026-02-16 20:38:26 | INFO     | skill_images         | generate_portrait | 👤 Generando retrato para sesión test_session
2026-02-16 20:38:32 | INFO     | skill_images         | _wait_and_broadcast | ✅ Imagen (portrait) lista: ComfyUI_00137_.png
2026-02-16 20:38:32 | INFO     | skill_images         | process_narrative | 🤔 Analizando narrativa para imágenes (44 chars)
2026-02-16 20:38:32 | INFO     | skill_images         | process_narrative |   -> Detectado: RETRATO 👤
2026-02-16 20:38:32 | INFO     | skill_images         | generate_portrait | 👤 Generando retrato para sesión test_session
2026-02-16 20:38:36 | INFO     | skill_images         | _wait_and_broadcast | ✅ Imagen (portrait) lista: ComfyUI_00138_.png
2026-02-16 20:38:36 | INFO     | skill_images         | process_narrative | 🤔 Analizando narrativa para imágenes (29 chars)
2026-02-16 20:38:36 | INFO     | skill_images         | process_narrative |   -> Ningún trigger de imagen detectado.
2026-02-16 20:39:16 | INFO     | skill_images         | process_narrative | 🤔 Analizando narrativa para imágenes (36 chars)
2026-02-16 20:39:16 | INFO     | skill_images         | process_narrative |   -> Detectado: MAPA 🗺️
2026-02-16 20:39:16 | INFO     | skill_images         | generate_map    | 🗺️ Generando mapa para sesión test_session
2026-02-16 20:39:23 | INFO     | skill_images         | _wait_and_broadcast | ✅ Imagen (map) lista: ComfyUI_00139_.png
2026-02-16 20:39:23 | INFO     | skill_images         | process_narrative | 🤔 Analizando narrativa para imágenes (44 chars)
2026-02-16 20:39:23 | INFO     | skill_images         | process_narrative |   -> Ningún trigger de imagen detectado.
2026-02-16 20:39:23 | INFO     | skill_images         | process_narrative | 🤔 Analizando narrativa para imágenes (43 chars)
