2026-02-09 19:18:25 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-09 19:18:25 | INFO     | websocket            | <module>        | Sistemas inicializados y listos
2026-02-09 19:32:23 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-09 19:32:23 | INFO     | websocket            | <module>        | Sistemas inicializados y listos
2026-02-09 19:33:08 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-09 20:03:00 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-10 07:08:30 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-10 07:08:30 | INFO     | websocket            | <module>        | Sistemas inicializados y listos
2026-02-10 07:09:16 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-10 07:12:15 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-10 07:17:30 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-10 07:17:30 | INFO     | websocket            | <module>        | Sistemas inicializados y listos
2026-02-10 07:18:13 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-10 07:18:40 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-10 19:55:05 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-10 19:55:05 | INFO     | websocket            | <module>        | Sistemas inicializados y listos
2026-02-10 19:55:54 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-10 19:56:47 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-10 19:59:50 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-10 19:59:50 | INFO     | websocket            | <module>        | Sistemas inicializados y listos
2026-02-10 20:00:24 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-10 20:01:25 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-10 20:16:43 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-10 20:16:43 | INFO     | websocket            | <module>        | Sistemas inicializados y listos
2026-02-10 20:22:57 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-10 20:22:57 | INFO     | websocket            | <module>        | Sistemas inicializados y listos
2026-02-10 20:24:02 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-10 20:27:23 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-10 20:27:23 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-10 20:27:31 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-10 20:29:57 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-10 20:34:24 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-14 10:43:41 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-14 10:45:00 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-14 10:46:00 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 19:17:51 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 19:19:00 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 19:20:19 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 19:22:41 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 19:23:08 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 19:23:22 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 19:33:00 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 19:34:33 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 19:35:13 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 19:35:19 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 20:11:10 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:11:55 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:13:11 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 20:16:57 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 20:19:26 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:20:50 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 20:27:14 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 20:31:31 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:32:33 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:34:57 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:36:18 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 20:37:34 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:37:34 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:41:18 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 20:41:21 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:42:27 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 20:46:54 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 20:46:54 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 20:46:57 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 20:47:05 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:48:12 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 20:51:39 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 20:53:02 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 20:54:11 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 20:59:49 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 21:00:20 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 21:01:22 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 21:09:34 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 21:09:40 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 21:10:45 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 21:14:28 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 21:22:14 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 21:23:18 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 21:26:36 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 21:30:40 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 21:31:49 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 22:06:50 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-16 22:18:03 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 22:26:36 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 22:27:55 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 22:28:56 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:29:00 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:29:04 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:29:08 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:29:12 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:29:14 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:29:16 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:29:18 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:29:20 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-16 22:31:37 | INFO     | websocket            | __init__        | ConnectionManager inicializado
2026-02-16 22:32:50 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session
2026-02-16 22:34:06 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 16:27:17 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-17 16:31:29 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-17 16:37:23 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-17 16:38:44 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-17 16:41:40 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-17 16:45:26 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-17 16:45:37 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
